RepRapFirmware height map file v2 generated at 2021-02-19 15:22, min error -1.523, max error -0.973, mean -1.197, deviation 0.136
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,180.00,10.00,210.00,-1.00,40.00,40.00,5,6
 -1.312, -1.248, -1.158, -1.088, -1.025
 -1.363, -1.255, -1.163, -1.062, -1.008
 -1.360, -1.253, -1.130, -1.038, -0.973
 -1.335, -1.240, -1.143, -1.103, -1.020
 -1.403, -1.288, -1.208, -1.130, -1.038
 -1.523, -1.395, -1.290, -1.223, -1.130
